id,updated_at,content,created_at,account_id,workout_id
50419035,2026-05-04T12:09:01.278815Z,Brinca!,2026-05-04T12:09:01.278815Z,1798219,616983236
50419043,2026-05-04T12:09:08.643611Z,Tomeeee,2026-05-04T12:09:08.643611Z,1798219,617069835
50563973,2026-05-05T20:38:16.970756Z,Kkkkkkkkkkk,2026-05-05T20:38:16.970756Z,7644605,617163530
50420670,2026-05-04T12:36:16.596392Z,BORAAAAA TIME,2026-05-04T12:36:16.596392Z,7538297,617163530
50435403,2026-05-04T16:34:47.183256Z,Lindo,2026-05-04T16:34:47.183256Z,1798219,617389549
50435421,2026-05-04T16:35:04.767162Z,Brincaaa,2026-05-04T16:35:04.767162Z,1798219,617393025
50563937,2026-05-05T20:37:54.503274Z,Kkkkkkkkk,2026-05-05T20:37:54.503274Z,7644605,618272469
50509705,2026-05-05T09:04:25.388657Z,kkkkkkkkkk,2026-05-05T09:04:25.388657Z,255289,618272469
50563911,2026-05-05T20:37:40.123389Z,Kkkkkkkkkk,2026-05-05T20:37:40.123389Z,7644605,618572658
50528191,2026-05-05T12:50:16.079771Z,"Caramba, arrasou",2026-05-05T12:50:16.079771Z,1798219,618572658
50558267,2026-05-05T19:36:15.783753Z,A foto de paparazzi muito chic,2026-05-05T19:36:15.783753Z,51123,618819194
50533066,2026-05-05T13:52:35.982367Z,Gato,2026-05-05T13:52:35.982367Z,1798219,618828828
50563850,2026-05-05T20:37:08.955184Z,Kkkkkkkkkkkkkk,2026-05-05T20:37:08.955184Z,7644605,619034130
50547687,2026-05-05T16:54:44.892655Z,Por favor explicar o que é essa bota 🥲,2026-05-05T16:54:44.892655Z,1798219,619034130
50545973,2026-05-05T16:34:26.609336Z,"""horário de Cairo""",2026-05-05T16:34:26.609336Z,255289,619034130
50603803,2026-05-06T00:24:09.615081Z,🙏 que mulherrrr,2026-05-06T00:24:09.615081Z,51123,619620194
50592117,2026-05-05T23:32:18.032622Z,Brinca!,2026-05-05T23:32:18.032622Z,1798219,619620194
50603988,2026-05-06T00:24:59.494066Z,Tão sério 🫦,2026-05-06T00:24:59.494066Z,51123,619630479
50597402,2026-05-05T23:55:34.422733Z,Queria entender que que fica malhando por 1 hora e 40 minutos. Que loucura 12 exercícios e 4 séries de cada com 20 repetições,2026-05-05T23:55:34.422733Z,7644605,619766143
50606361,2026-05-06T00:35:21.232832Z,Dientrooo!!,2026-05-06T00:35:21.232832Z,7538297,619799735
50604361,2026-05-06T00:26:44.218532Z,Bora combinar um treino da turminha de sp,2026-05-06T00:26:44.218532Z,51123,619799735
50655917,2026-05-06T14:18:48.705173Z,Só tubarão,2026-05-06T14:18:48.705173Z,1798391,620456293
50651536,2026-05-06T13:23:46.793240Z,Vocês só vão me ver no fds agora,2026-05-06T13:23:46.793240Z,3941595,620456293
50651313,2026-05-06T13:21:08.780161Z,Amanhã nem anda,2026-05-06T13:21:08.780161Z,51123,620456293
50650163,2026-05-06T13:06:42.727145Z,Caceta 825 kcal,2026-05-06T13:06:42.727145Z,1798219,620456293
50738355,2026-05-07T01:52:55.913609Z,Espelho diferenciado,2026-05-07T01:52:55.913609Z,51123,621106497
50713262,2026-05-06T23:40:35.663282Z,Kkkkkkkkk,2026-05-06T23:40:35.663282Z,7644605,621106497
50738147,2026-05-07T01:51:26.607623Z,Bora bora minha musa fitness!!,2026-05-07T01:51:26.607623Z,51123,621235136
50736483,2026-05-07T01:40:25.666186Z,Divo,2026-05-07T01:40:25.666186Z,1798219,621540919
50755940,2026-05-07T11:03:35.725255Z,Respeita esse pace,2026-05-07T11:03:35.725255Z,1798219,621716230
50807284,2026-05-07T21:47:24.245290Z,é pra tu me chamar nao eu te chamar fdp,2026-05-07T21:47:24.245290Z,255289,622491662
50807025,2026-05-07T21:45:26.253573Z,Só dizer a hora e o lugar,2026-05-07T21:45:26.253573Z,7644605,622491662
